voltage,c_rate,soc,soh,phase,cycle_number,cycle_capacity_ah
3.486189216,0.000944394,0.0,100.0,charge,1,1.548970284333332
3.746592135,0.992704646,0.0697542791158569,100.0,charge,1,1.548970284333332
3.775437647,0.9936171773333333,0.2399181489096668,100.0,charge,1,1.548970284333332
3.794843607,0.9943514313333334,0.4096517687166404,100.0,charge,1,1.548970284333332
3.811691165,0.9942835579999999,0.5785786697982954,100.0,charge,1,1.548970284333332
3.826772557,0.9950782380000001,0.7474786802557735,100.0,charge,1,1.548970284333332
3.840721816,0.9949910439999999,0.9176425500495834,100.0,charge,1,1.548970284333332
3.854195038,0.994985366,1.0874030604807343,100.0,charge,1,1.548970284333332
3.866966071,0.9940031873333334,1.256303070938212,100.0,charge,1,1.548970284333332
3.878496126,0.9937062273333334,1.42520308139569,100.0,charge,1,1.548970284333332
3.88962424,0.9929041660000001,1.5936997324905082,100.0,charge,1,1.548970284333332
3.900672297,0.994464192,1.7625997429479865,100.0,charge,1,1.548970284333332
3.910993667,0.9942915226666668,1.931499753405464,100.0,charge,1,1.548970284333332
3.920491006,0.9931409406666667,2.0995661545134463,100.0,charge,1,1.548970284333332
3.92980402,0.995114964,2.2688964149577604,100.0,charge,1,1.548970284333332
3.938368188,0.993136266,2.4365325660789066,100.0,charge,1,1.548970284333332
3.946541796,0.9940237179999999,2.6045989671868885,100.0,charge,1,1.548970284333332
3.953910715,0.9931056333333333,2.772665368294871,100.0,charge,1,1.548970284333332
3.961145959,0.9944769253333333,2.940731769402853,100.0,charge,1,1.548970284333332
3.967502036,0.9943165726666666,3.1087981705108354,100.0,charge,1,1.548970284333332
3.973777614,0.9937693433333333,3.2764612122561583,100.0,charge,1,1.548970284333332
3.97926479,0.9939653813333332,3.444097363377305,100.0,charge,1,1.548970284333332
3.984455695,0.9950057733333333,3.612163764485287,100.0,charge,1,1.548970284333332
3.989082025,0.9939273613333334,3.779826806230609,100.0,charge,1,1.548970284333332
3.993331361,0.994395388,3.947893207338592,100.0,charge,1,1.548970284333332
3.997187867,0.9948112693333333,4.115959608446574,100.0,charge,1,1.548970284333332
4.000424327,0.9940630173333332,4.284859618904052,100.0,charge,1,1.548970284333332
4.0037994,0.9948532139999999,4.4638436134280095,100.0,charge,1,1.548970284333332
4.006755117,0.9941441333333333,4.636104951907647,100.0,charge,1,1.548970284333332
4.009486655,0.993568658,4.807532681037789,100.0,charge,1,1.548970284333332
